City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,caravelas,BR,-17.7125,-39.2481,75.51,91,100,9.15,heavy intensity rain
288,zyryanovsk,KZ,49.7386,84.2719,-5.71,97,100,2.08,overcast clouds
289,morgantown,US,39.6295,-79.9559,42.31,87,100,5.75,overcast clouds
290,kachug,RU,53.9606,105.8817,7.52,96,99,1.61,light snow
291,turukhansk,RU,65.8167,87.9833,-9.89,96,100,10.04,overcast clouds
292,lepe,ES,37.2548,-7.2043,63.1,70,6,2.48,clear sky
293,sarangani,PH,5.4033,125.4636,83.16,77,50,11.74,scattered clouds
294,keti bandar,PK,24.1447,67.4497,71.4,39,0,10.56,clear sky
295,panjakent,TJ,39.4952,67.6093,31.06,86,30,0.63,scattered clouds
296,san nicolas,PH,18.1725,120.5953,70.63,75,97,16.93,overcast clouds
297,vardo,NO,70.3705,31.1107,28.38,86,75,19.57,light snow
298,goderich,CA,43.7501,-81.7165,37.9,64,100,13.8,overcast clouds
299,vallenar,CL,-28.5708,-70.7581,87.82,24,0,10.42,clear sky
300,burgersdorp,ZA,-30.9977,26.3286,80.53,33,63,8.9,broken clouds
301,kavaratti,IN,10.5669,72.642,81.63,65,48,4.85,scattered clouds
302,palmerston,AU,-12.486,130.9833,80.58,92,100,14.97,heavy intensity shower rain
303,rzhyshchiv,UA,49.9689,31.0463,33.67,83,100,6.44,overcast clouds
304,jacareacanga,BR,-6.2222,-57.7528,75.06,91,100,0.09,overcast clouds
305,polson,US,47.6936,-114.1632,-16.51,88,6,1.61,clear sky
306,russell,US,32.3502,-85.1999,47.48,93,100,3.44,overcast clouds
307,kharp,RU,66.8014,65.8081,-12.51,90,14,1.72,few clouds
308,vega de alatorre,MX,20.0333,-96.6333,74.44,67,4,3.67,clear sky
309,kalakamati,BW,-20.5929,27.3121,69.28,57,2,14.76,clear sky
310,port macquarie,AU,-31.4333,152.9167,64.89,93,100,8.57,light rain
311,naryan-mar,RU,67.6713,53.087,-9.51,99,40,5.61,scattered clouds
312,port arthur,CN,38.8,121.2667,16.02,65,100,26.93,overcast clouds
313,butajira,ET,8.1167,38.3667,65.39,48,91,3.31,overcast clouds
314,dwarka,IN,22.2394,68.9678,72.68,38,0,11.59,clear sky
315,diego de almagro,CL,-26.3667,-70.05,82.69,21,0,11.34,clear sky
316,kuytun,RU,54.3419,101.5036,19.26,96,100,4.27,snow
317,tela,HN,15.7833,-87.45,79.03,74,85,5.48,overcast clouds
318,marquette,US,46.5333,-87.6335,24.82,90,100,6.31,light snow
319,teahupoo,PF,-17.8333,-149.2667,73.36,80,77,18.7,light rain
320,changde,CN,29.0464,111.6783,43.07,26,98,3.4,overcast clouds
321,barddhaman,IN,23.25,87.85,64.45,29,33,5.26,scattered clouds
322,udachnyy,RU,66.4167,112.4,-20.9,91,70,7.78,broken clouds
323,cabo san lucas,MX,22.8909,-109.9124,73.51,61,0,4.61,clear sky
324,arcelia,MX,18.2833,-100.2667,83.95,38,0,3.53,clear sky
325,grand-lahou,CI,5.1367,-5.0242,82.56,66,40,9.17,scattered clouds
326,gayny,RU,60.3071,54.3241,20.8,94,100,10.6,light snow
327,constitucion,CL,-35.3333,-72.4167,68.4,67,13,9.78,few clouds
328,araxa,BR,-19.5933,-46.9406,80.56,47,0,6.91,clear sky
329,santiago,CL,-33.4569,-70.6483,83.55,32,0,10.36,clear sky
330,kruisfontein,ZA,-34.0033,24.7314,73.96,51,0,15.99,clear sky
331,hutang,CN,31.5333,119.4833,29.52,33,0,6.8,clear sky
332,vila franca do campo,PT,37.7167,-25.4333,65.19,88,100,14.61,light rain
333,aves,PT,41.3703,-8.4101,61.34,95,100,7.96,overcast clouds
334,san vicente,AR,-26.6167,-54.1333,83.55,36,39,3.22,scattered clouds
335,shahr-e babak,IR,30.1165,55.1186,43.05,38,0,3.0,clear sky
336,akdepe,TM,42.0551,59.3788,19.49,60,0,8.79,clear sky
337,port pirie,AU,-33.1833,138.0167,65.97,62,68,8.59,broken clouds
338,utete,TZ,-7.986,38.758,74.8,96,100,4.9,light rain
339,roebourne,AU,-20.7833,117.1333,77.27,67,0,9.98,clear sky
340,sharan,RU,54.8167,54.0,25.03,95,100,21.54,snow
341,puerto quijarro,BO,-17.7833,-57.7667,100.9,26,8,5.03,clear sky
342,calamar,CO,10.2511,-74.9146,89.2,51,23,5.84,few clouds
343,kalmunai,LK,7.4167,81.8167,75.27,92,100,10.13,overcast clouds
344,worcester,US,42.3334,-71.8328,35.56,75,20,5.75,few clouds
