City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,obihiro,JP,33.69,snow,42.9172,143.2044,
407,nichinan,JP,38.71,scattered clouds,31.6,131.3667,
408,zaozerne,UA,44.58,scattered clouds,45.1582,33.2787,
410,mantua,IT,47.01,overcast clouds,45.1667,10.7833,
411,angoche,MZ,75.16,overcast clouds,-16.2325,39.9086,
412,los llanos de aridane,ES,71.13,few clouds,28.6585,-17.9182,
415,port hawkesbury,CA,35.19,overcast clouds,45.6169,-61.3485,
416,manicore,BR,83.5,overcast clouds,-5.8092,-61.3003,
417,opotiki,NZ,62.38,scattered clouds,-38.0833,177.2833,
419,mount gambier,AU,55.54,scattered clouds,-37.8333,140.7667,
420,jumla,NP,35.74,clear sky,29.2747,82.1838,
421,nsanje,MW,72.48,light rain,-16.92,35.262,
422,saint-joseph,RE,77.38,overcast clouds,-21.3667,55.6167,
423,gao,ML,74.41,broken clouds,16.6362,1.637,
424,hesperia,US,58.46,broken clouds,34.4264,-117.3009,
425,gizo,SB,82.06,light rain,-8.103,156.8419,
426,inongo,CD,74.35,overcast clouds,-1.95,18.2667,
427,gondanglegi,ID,76.3,overcast clouds,-7.7479,112.0132,
429,sangareddi,IN,64.72,clear sky,17.6294,78.0917,
430,jos,NG,74.5,scattered clouds,9.9167,8.9,
431,ambilobe,MG,76.82,light rain,-13.2,49.05,
433,sattur,IN,75.52,overcast clouds,9.3667,77.9333,
434,richmond,US,42.78,moderate rain,37.5538,-77.4603,
437,mount isa,AU,83.97,light rain,-20.7333,139.5,
439,kudahuvadhoo,MV,79.65,overcast clouds,2.6708,72.8944,
440,alta floresta,BR,76.1,overcast clouds,-9.8756,-56.0861,
441,ixtapa,MX,67.23,clear sky,20.7,-105.2,
443,batemans bay,AU,61.11,few clouds,-35.7167,150.1833,
444,puerto ayacucho,VE,89.47,scattered clouds,5.6639,-67.6236,
446,whitehaven,GB,41.65,overcast clouds,54.549,-3.5841,
449,antofagasta,CL,70.88,clear sky,-23.65,-70.4,
452,kinkala,CG,73.15,light rain,-4.3614,14.7644,
453,hurup,DK,43.72,broken clouds,56.7494,8.4195,
455,puerto escondido,MX,83.23,few clouds,15.85,-97.0667,
456,nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,
457,margate,GB,51.91,overcast clouds,51.3813,1.3862,
458,norre alslev,DK,41.77,overcast clouds,54.8978,11.8841,
459,salihorsk,BY,33.73,overcast clouds,52.7876,27.5415,
460,dargaville,NZ,56.23,clear sky,-35.9333,173.8833,
461,haapiti,PF,78.53,light rain,-17.5667,-149.8667,
462,biak,ID,76.89,broken clouds,-0.9131,122.8766,
463,apartado,CO,87.66,few clouds,7.883,-76.6259,
464,salinopolis,BR,81.16,broken clouds,-0.6136,-47.3561,
465,mvuma,ZW,61.45,overcast clouds,-19.2792,30.5283,
467,nelson bay,AU,66.0,light rain,-32.7167,152.15,
468,iquique,CL,73.44,clear sky,-20.2208,-70.1431,
469,touros,BR,85.26,scattered clouds,-5.1989,-35.4608,
472,agliana,IT,55.71,mist,43.9066,11.0062,
473,scarborough,GB,44.17,overcast clouds,54.2797,-0.4044,
474,katsuura,JP,47.1,clear sky,35.1333,140.3,
475,santa cruz de la palma,ES,75.15,few clouds,28.6835,-17.7642,
476,naze,JP,49.12,light rain,28.3667,129.4833,
477,kita,ML,86.86,overcast clouds,13.0349,-9.4895,
478,aquin,HT,81.52,clear sky,18.2833,-73.4,
479,san cristobal,VE,75.38,few clouds,7.7669,-72.225,
480,nakur,IN,51.51,clear sky,29.9167,77.3,
481,birao,CF,81.18,overcast clouds,10.2849,22.7882,
482,memmingen,DE,50.02,broken clouds,47.9837,10.1853,
484,dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,
485,pahrump,US,39.25,overcast clouds,36.2083,-115.9839,
486,port keats,AU,77.25,moderate rain,-14.25,129.55,
487,sale,MA,65.08,few clouds,34.0389,-6.8166,
488,san jose,US,53.58,haze,37.3394,-121.895,
489,ginda,IN,42.22,clear sky,30.6945,78.4932,
492,pochutla,MX,83.82,clear sky,15.7432,-96.4661,
494,cayenne,GF,84.24,broken clouds,4.9333,-52.3333,
496,coahuayana,MX,85.66,clear sky,18.7333,-103.6833,
497,auki,SB,77.92,overcast clouds,-8.7676,160.7034,
498,richards bay,ZA,70.75,clear sky,-28.783,32.0377,
500,kamennomostskiy,RU,34.05,clear sky,44.2983,40.1856,
501,atar,MR,81.18,clear sky,20.5169,-13.0499,
502,alyangula,AU,81.7,overcast clouds,-13.8483,136.4192,
503,terenos,BR,87.51,scattered clouds,-20.4422,-54.8603,
505,kamaishi,JP,41.9,broken clouds,39.2667,141.8833,
506,kuching,MY,80.04,moderate rain,1.55,110.3333,
507,bria,CF,82.58,scattered clouds,6.5423,21.9863,
508,wanaka,NZ,55.11,scattered clouds,-44.7,169.15,
510,ngunguru,NZ,59.25,clear sky,-35.6167,174.5,
511,te anau,NZ,50.67,overcast clouds,-45.4167,167.7167,
513,sechura,PE,81.27,scattered clouds,-5.5569,-80.8222,
514,ierapetra,GR,58.14,overcast clouds,35.01,25.7353,
515,ferrol,ES,64.92,overcast clouds,43.4832,-8.2369,
516,koumra,TD,79.39,broken clouds,8.9126,17.5539,
517,barberton,ZA,71.69,clear sky,-25.7884,31.0532,
518,makakilo city,US,69.01,clear sky,21.3469,-158.0858,
519,haimen,CN,55.29,clear sky,23.1935,116.6142,
520,mezhgorye,UA,37.45,broken clouds,44.9667,34.4167,
521,syriam,MM,78.91,few clouds,16.7722,96.2378,
523,biltine,TD,75.88,few clouds,14.5333,20.9167,
524,kidal,ML,73.45,broken clouds,18.4411,1.4078,
525,wanxian,CN,51.22,overcast clouds,30.8039,108.3897,
526,sur,OM,72.14,scattered clouds,22.5667,59.5289,
527,qandala,SO,76.96,overcast clouds,11.472,49.8728,
528,canete,CL,63.48,overcast clouds,-37.8,-73.4,
530,mahanoro,MG,73.2,light rain,-19.9,48.8,
531,huarmey,PE,75.52,scattered clouds,-10.0681,-78.1522,
532,ciudad bolivar,VE,87.08,overcast clouds,8.1222,-63.5497,
533,muisne,EC,78.35,overcast clouds,0.6,-80.0333,
535,ternate,ID,81.73,scattered clouds,0.8,127.4,
536,hwange,ZW,76.37,overcast clouds,-18.3693,26.5019,
